player name,year,pick,position,GP,GS,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT,OFF,DEF,TRB,AST,STL,BLK,PF,TOV,PTS,WS,eFG%,PER
Zion Williamson,2019,1,PF,33,33,30.0,8.97,13.18,.680,0.73,2.15,.338,3.94,6.15,.640,3.52,5.36,8.88,2.06,2.12,1.79,2.06,2.36,22.61,8.51,.708,37.86
Ja Morant,2019,2,G,65,65,35.3,6.12,12.63,.485,1.29,3.77,.343,5.12,6.32,.810,1.46,4.63,6.09,8.18,1.35,0.62,1.72,3.83,18.66,14.09,.536,25.42
R.J. Barrett,2019,3,SG,38,38,35.3,8.39,18.47,.454,1.92,6.24,.308,3.92,5.89,.665,1.55,6.03,7.58,4.32,0.89,0.42,1.84,3.24,22.63,6.70,.506,22.49
De'Andre Hunter,2019,4,PF,71,38,26.6,4.35,8.55,.509,0.94,2.25,.419,2.77,3.59,.773,1.27,3.10,4.37,1.56,0.58,0.49,1.92,1.17,12.42,11.34,.564,22.75
Darius Garland,2019,5,G,5,5,27.8,5.80,10.80,.537,2.20,4.60,.478,2.40,3.20,.750,0.40,3.40,3.80,2.60,0.80,0.40,1.40,3.00,16.20,0.65,.639,20.70
Jarrett Culver,2019,6,SG,75,58,29.5,5.32,11.60,.459,1.39,4.07,.341,2.89,4.21,.687,1.24,4.36,5.60,2.79,1.31,0.64,2.00,2.13,14.92,11.29,.518,21.43
Coby White,2019,7,PG,35,35,28.5,5.37,12.69,.423,2.34,6.63,.353,2.97,3.71,.800,0.34,3.20,3.54,4.09,1.09,0.31,1.94,2.66,16.06,4.25,.516,18.64
Jaxson Hayes,2019,8,PF,32,21,23.3,3.84,5.28,.728,0.00,0.00,.000,2.31,3.12,.740,1.75,3.25,5.00,0.28,0.59,2.22,3.34,0.91,10.00,4.31,.728,25.30
Rui Hachimura,2019,9,F,102,40,19.7,4.54,7.83,.579,0.24,0.75,.316,2.76,3.71,.746,1.09,3.34,4.43,0.79,0.59,0.49,1.60,1.18,12.06,13.05,.594,25.74
Cam Reddish,2019,10,G,36,35,29.7,4.28,12.00,.356,2.47,7.42,.333,2.44,3.17,.772,0.56,3.14,3.69,1.94,1.56,0.58,2.39,2.67,13.47,3.30,.459,13.34
Cameron Johnson,2019,11,G,135,90,25.4,3.82,8.36,.457,1.92,4.73,.406,1.65,2.02,.817,1.10,2.96,4.05,1.80,0.76,0.25,1.76,1.02,11.21,14.66,.572,18.85
P.J. Washington,2019,12,PF,72,63,28.3,4.51,8.67,.521,0.53,1.38,.384,3.39,5.36,.632,2.06,4.54,6.60,1.67,0.81,1.03,2.58,1.94,12.94,9.25,.551,20.70
Tyler Herro,2019,13,SG,37,37,32.6,5.03,10.89,.462,1.62,4.57,.355,2.35,2.51,.935,0.41,4.08,4.49,2.49,1.08,0.32,1.27,1.62,14.03,5.62,.536,18.72
Romeo Langford,2019,14,SG,32,32,34.1,5.53,12.34,.448,1.06,3.91,.272,4.38,6.06,.722,1.41,3.97,5.38,2.34,0.78,0.81,1.88,2.12,16.50,4.21,.491,19.05
Chuma Okeke,2019,16,PF,72,38,25.5,3.61,7.50,.481,1.24,3.18,.389,1.42,2.01,.703,2.43,3.92,6.35,1.54,1.28,0.99,1.90,1.28,9.88,8.58,.564,20.64
Nickeil Alexander-Walker,2019,17,SG,67,67,30.0,4.69,10.10,.464,1.73,4.52,.383,2.36,3.09,.763,0.58,3.39,3.97,2.75,1.37,0.54,1.90,2.22,13.46,7.84,.549,18.63
Matisse Thybulle,2019,20,SF,135,135,29.3,3.27,7.61,.429,1.41,3.96,.358,1.25,1.60,.782,0.87,2.19,3.07,2.04,2.45,1.37,2.82,1.87,9.20,11.32,.522,15.31
Brandon Clarke,2019,21,PF,98,69,27.8,5.97,9.35,.639,0.06,0.24,.250,2.48,4.01,.618,2.73,4.94,7.67,1.88,1.02,2.33,2.15,1.47,14.48,16.61,.642,28.11
Grant Williams,2019,22,SF,104,101,28.9,5.28,10.23,.516,0.29,0.99,.291,4.82,6.36,.758,2.47,4.05,6.52,2.11,0.86,1.54,3.18,2.11,15.66,16.00,.530,24.20
Ty Jerome,2019,24,PG,105,76,26.4,3.46,7.95,.435,1.58,4.04,.392,1.13,1.44,.788,0.28,2.74,3.02,3.66,1.21,0.04,1.93,1.38,9.63,13.83,.534,18.95
Nassir Little,2019,25,SF,36,1,18.2,3.64,7.61,.478,0.39,1.44,.269,2.14,2.78,.770,1.58,3.03,4.61,0.64,0.53,0.53,1.64,1.33,9.81,2.75,.504,19.12
Dylan Windler,2019,26,SF,128,97,29.4,4.63,8.57,.541,1.70,4.17,.406,2.22,2.91,.763,1.62,6.17,7.80,1.96,1.00,0.77,2.39,1.64,13.18,18.90,.639,21.85
Mfiondu Kabengele,2019,27,SF,71,0,18.3,3.51,7.04,.498,0.48,1.28,.374,2.85,3.93,.724,2.00,3.32,5.32,0.30,0.51,1.20,2.38,1.17,10.34,7.03,.532,24.59
Jordan Poole,2019,28,SG,75,37,22.7,3.15,7.25,.434,1.53,4.15,.370,1.57,1.89,.831,0.15,2.03,2.17,1.36,0.80,0.19,1.52,1.09,9.40,6.84,.540,16.14
Keldon Johnson,2019,29,SF,37,36,30.7,4.65,10.08,.461,1.22,3.19,.381,2.95,4.19,.703,1.32,4.54,5.86,1.65,0.76,0.16,2.24,1.62,13.46,5.02,.521,17.89
"Kevin Porter, Jr.",2019,30,SF,21,4,22.1,3.52,7.48,.471,1.33,3.24,.412,1.14,2.19,.522,0.95,3.05,4.00,1.43,0.81,0.52,2.10,1.86,9.52,1.26,.561,15.89
Nicolas Claxton,2019,31,C,65,37,23.0,2.78,6.09,.457,0.40,1.32,.302,2.42,3.95,.611,1.95,4.25,6.20,0.98,0.60,1.89,2.26,1.40,8.38,5.17,.490,18.80
KZ Okpala,2019,32,SG,52,50,30.8,4.71,10.73,.439,0.75,2.27,.331,3.65,5.42,.674,1.17,3.65,4.83,1.90,1.00,0.54,2.75,2.69,13.83,4.03,.474,14.44
Carsen Edwards,2019,33,PG,108,93,29.4,5.87,14.24,.412,2.60,7.06,.368,3.44,4.21,.815,0.38,2.98,3.36,2.50,1.18,0.19,1.91,2.23,17.78,13.83,.504,20.24
Bruno Fernando,2019,34,C,64,53,26.4,4.55,7.64,.595,0.06,0.20,.308,2.88,3.77,.763,2.27,6.45,8.72,1.39,0.52,1.58,2.80,2.31,12.03,8.53,.599,23.75
Cody Martin,2019,36,F,122,87,28.9,3.70,7.38,.501,0.43,1.31,.325,1.85,2.69,.689,1.40,3.18,4.58,3.56,1.27,0.79,2.28,1.65,9.67,13.47,.530,18.09
Daniel Gafford,2019,38,C,67,58,25.5,5.64,8.88,.635,0.00,0.00,.000,2.97,5.28,.562,2.49,4.87,7.36,0.70,0.72,2.07,3.01,1.69,14.25,8.55,.635,26.10
Justin James,2019,40,SG,132,73,28.1,5.27,11.90,.442,1.20,3.57,.335,3.97,5.45,.729,0.80,4.61,5.41,2.61,0.93,0.49,2.20,2.49,15.70,11.76,.493,19.61
Eric Paschall,2019,41,F,137,109,29.6,4.30,9.19,.468,1.24,3.74,.331,2.47,3.23,.765,1.53,3.61,5.14,1.53,0.74,0.52,2.29,1.93,12.31,14.85,.535,16.90
Admiral Schofield,2019,42,SF,132,95,24.9,4.43,9.67,.458,1.39,3.61,.387,1.64,2.14,.763,1.27,4.06,5.33,1.34,0.67,0.36,2.64,1.42,11.89,12.27,.530,18.10
Jaylen Nowell,2019,43,SG,70,68,33.5,6.01,12.63,.476,1.29,3.24,.396,2.79,3.53,.789,0.97,3.67,4.64,2.91,1.17,0.26,2.53,2.73,16.10,8.38,.527,18.16
Bol Bol,2019,44,C,9,9,29.8,8.22,14.67,.561,1.44,2.78,.520,3.11,4.11,.757,2.11,7.44,9.56,1.00,0.78,2.67,1.67,2.00,21.00,1.87,.610,33.16
Isaiah Roby,2019,45,SF,97,53,23.9,2.89,6.06,.476,0.51,1.51,.336,1.85,2.62,.705,1.60,3.87,5.46,1.47,0.82,1.59,2.81,1.59,8.12,7.82,.518,17.62
Talen Horton-Tucker,2019,46,SF,35,34,27.2,4.43,10.91,.406,1.40,4.54,.308,1.57,2.51,.625,0.66,4.20,4.86,2.34,1.29,0.66,2.26,1.71,11.83,2.87,.470,16.73
Ignas Brazdeikis,2019,47,SF,37,37,29.6,5.08,11.00,.462,1.51,3.86,.392,3.14,4.05,.773,1.16,4.27,5.43,0.84,0.70,0.49,2.14,1.24,14.81,5.64,.531,20.53
Terance Mann,2019,48,SG,140,101,25.9,3.61,6.54,.552,0.39,1.18,.327,1.84,2.75,.670,1.90,3.17,5.07,1.92,0.80,0.24,2.03,1.36,9.44,14.53,.581,17.59
Quinndary Weatherspoon,2019,49,SG,131,117,31.1,5.39,11.23,.480,1.43,3.88,.368,3.15,4.00,.788,1.44,3.72,5.15,2.40,1.53,0.35,2.30,2.34,15.36,17.26,.544,20.61
Jarrell Brantley,2019,50,SF,123,119,31.7,5.63,11.57,.487,0.91,2.58,.353,3.36,4.37,.768,1.83,6.03,7.86,1.65,1.22,0.69,2.94,2.55,15.54,16.66,.526,21.79
Tremont Waters,2019,51,PG,66,61,32.7,5.15,12.17,.423,1.94,5.70,.340,3.35,4.15,.807,0.30,2.77,3.08,5.91,2.47,0.11,2.09,3.20,15.59,8.49,.503,20.61
Jalen McDaniels,2019,52,PF,67,55,27.9,5.04,10.00,.504,0.42,1.40,.298,2.72,3.58,.758,2.10,5.79,7.90,1.51,0.97,0.52,2.64,1.76,13.22,8.72,.525,20.95
Justin Wright-Foreman,2019,53,SG,125,82,28.1,6.55,13.55,.483,2.22,5.74,.386,3.30,4.06,.811,0.35,2.58,2.94,2.06,0.66,0.15,1.61,1.70,18.62,16.07,.565,24.01
Marial Shayok,2019,54,G,137,57,20.7,3.32,7.07,.470,0.92,2.42,.381,1.35,1.72,.787,0.55,2.20,2.74,1.27,0.67,0.24,1.55,1.28,8.91,11.43,.535,17.79
Kyle Guy,2019,55,SG,106,77,29.1,4.40,10.14,.433,2.40,5.63,.425,1.29,1.60,.806,0.42,2.57,2.99,1.63,0.70,0.04,1.10,1.09,12.48,13.97,.552,17.94
Jaylen Hands,2019,56,G,64,48,28.3,4.06,9.92,.409,1.70,4.56,.373,2.25,2.95,.762,0.47,3.34,3.81,4.41,1.16,0.16,1.39,2.53,12.08,5.12,.495,16.48
Jordan Bone,2019,57,SG,95,87,26.1,3.57,8.41,.424,0.96,2.72,.353,1.60,1.96,.817,0.35,2.06,2.41,4.26,0.67,0.06,1.24,1.58,9.69,7.98,.481,15.37
Miye Oni,2019,58,SF,87,82,31.7,5.17,12.08,.428,2.00,5.62,.356,2.69,3.46,.777,0.82,5.38,6.20,3.30,0.85,1.02,2.82,2.55,15.03,9.09,.511,18.04
Dewan Hernandez,2019,59,FC,64,47,21.6,3.50,6.25,.560,0.00,0.08,.000,1.62,2.41,.675,1.72,3.16,4.88,0.31,0.45,0.88,1.89,1.16,8.62,5.35,.560,18.80
